--------------------------------	
BECCS data for SSP1-1.9
From J. Rogelj
HDG 12-Jun-18	
--------------------------------
1850.5	0.000
1851.5	0.000
1852.5	0.000
1853.5	0.000
1854.5	0.000
1855.5	0.000
1856.5	0.000
1857.5	0.000
1858.5	0.000
1859.5	0.000
1860.5	0.000
1861.5	0.000
1862.5	0.000
1863.5	0.000
1864.5	0.000
1865.5	0.000
1866.5	0.000
1867.5	0.000
1868.5	0.000
1869.5	0.000
1870.5	0.000
1871.5	0.000
1872.5	0.000
1873.5	0.000
1874.5	0.000
1875.5	0.000
1876.5	0.000
1877.5	0.000
1878.5	0.000
1879.5	0.000
1880.5	0.000
1881.5	0.000
1882.5	0.000
1883.5	0.000
1884.5	0.000
1885.5	0.000
1886.5	0.000
1887.5	0.000
1888.5	0.000
1889.5	0.000
1890.5	0.000
1891.5	0.000
1892.5	0.000
1893.5	0.000
1894.5	0.000
1895.5	0.000
1896.5	0.000
1897.5	0.000
1898.5	0.000
1899.5	0.000
1900.5	0.000
1901.5	0.000
1902.5	0.000
1903.5	0.000
1904.5	0.000
1905.5	0.000
1906.5	0.000
1907.5	0.000
1908.5	0.000
1909.5	0.000
1910.5	0.000
1911.5	0.000
1912.5	0.000
1913.5	0.000
1914.5	0.000
1915.5	0.000
1916.5	0.000
1917.5	0.000
1918.5	0.000
1919.5	0.000
1920.5	0.000
1921.5	0.000
1922.5	0.000
1923.5	0.000
1924.5	0.000
1925.5	0.000
1926.5	0.000
1927.5	0.000
1928.5	0.000
1929.5	0.000
1930.5	0.000
1931.5	0.000
1932.5	0.000
1933.5	0.000
1934.5	0.000
1935.5	0.000
1936.5	0.000
1937.5	0.000
1938.5	0.000
1939.5	0.000
1940.5	0.000
1941.5	0.000
1942.5	0.000
1943.5	0.000
1944.5	0.000
1945.5	0.000
1946.5	0.000
1947.5	0.000
1948.5	0.000
1949.5	0.000
1950.5	0.000
1951.5	0.000
1952.5	0.000
1953.5	0.000
1954.5	0.000
1955.5	0.000
1956.5	0.000
1957.5	0.000
1958.5	0.000
1959.5	0.000
1960.5	0.000
1961.5	0.000
1962.5	0.000
1963.5	0.000
1964.5	0.000
1965.5	0.000
1966.5	0.000
1967.5	0.000
1968.5	0.000
1969.5	0.000
1970.5	0.000
1971.5	0.000
1972.5	0.000
1973.5	0.000
1974.5	0.000
1975.5	0.000
1976.5	0.000
1977.5	0.000
1978.5	0.000
1979.5	0.000
1980.5	0.000
1981.5	0.000
1982.5	0.000
1983.5	0.000
1984.5	0.000
1985.5	0.000
1986.5	0.000
1987.5	0.000
1988.5	0.000
1989.5	0.000
1990.5	0.000
1991.5	0.000
1992.5	0.000
1993.5	0.000
1994.5	0.000
1995.5	0.000
1996.5	0.000
1997.5	0.000
1998.5	0.000
1999.5	0.000
2000.5	0.000
2001.5	0.000
2002.5	0.000
2003.5	0.000
2004.5	0.000
2005.5	0.000
2006.5	0.000
2007.5	0.000
2008.5	0.000
2009.5	0.000
2010.5	0.000
2020.5	-0.013
2030.5	-0.273
2040.5	-0.968
2050.5	-1.157
2060.5	-1.413
2070.5	-1.841
2080.5	-2.474
2090.5	-3.122
2100.5	-4.054
