----------------------------------------------------------------------	
c13 of fossil fuel
Andres until 2013
Annual Fossil-Fuel CO2 Emissions: Global Stable Carbon Isotopic Signature
DOI: 10.3334/CDIAC/ffe.db1013.2016	
fixed at last value
----------------------------------------------------------------------	
1751.5	-24.1
1752.5	-24.1
1753.5	-24.1
1754.5	-24.1
1755.5	-24.1
1756.5	-24.1
1757.5	-24.1
1758.5	-24.1
1759.5	-24.1
1760.5	-24.1
1761.5	-24.1
1762.5	-24.1
1763.5	-24.1
1764.5	-24.1
1765.5	-24.1
1766.5	-24.1
1767.5	-24.1
1768.5	-24.1
1769.5	-24.1
1770.5	-24.1
1771.5	-24.1
1772.5	-24.1
1773.5	-24.1
1774.5	-24.1
1775.5	-24.1
1776.5	-24.1
1777.5	-24.1
1778.5	-24.1
1779.5	-24.1
1780.5	-24.1
1781.5	-24.1
1782.5	-24.1
1783.5	-24.1
1784.5	-24.1
1785.5	-24.1
1786.5	-24.1
1787.5	-24.1
1788.5	-24.1
1789.5	-24.1
1790.5	-24.1
1791.5	-24.1
1792.5	-24.1
1793.5	-24.1
1794.5	-24.1
1795.5	-24.1
1796.5	-24.1
1797.5	-24.1
1798.5	-24.1
1799.5	-24.1
1800.5	-24.1
1801.5	-24.1
1802.5	-24.1
1803.5	-24.1
1804.5	-24.1
1805.5	-24.1
1806.5	-24.1
1807.5	-24.1
1808.5	-24.1
1809.5	-24.1
1810.5	-24.1
1811.5	-24.1
1812.5	-24.1
1813.5	-24.1
1814.5	-24.1
1815.5	-24.1
1816.5	-24.1
1817.5	-24.1
1818.5	-24.1
1819.5	-24.1
1820.5	-24.1
1821.5	-24.1
1822.5	-24.1
1823.5	-24.1
1824.5	-24.1
1825.5	-24.1
1826.5	-24.1
1827.5	-24.1
1828.5	-24.1
1829.5	-24.1
1830.5	-24.1
1831.5	-24.1
1832.5	-24.1
1833.5	-24.1
1834.5	-24.1
1835.5	-24.1
1836.5	-24.1
1837.5	-24.1
1838.5	-24.1
1839.5	-24.1
1840.5	-24.1
1841.5	-24.1
1842.5	-24.1
1843.5	-24.1
1844.5	-24.1
1845.5	-24.1
1846.5	-24.1
1847.5	-24.1
1848.5	-24.1
1849.5	-24.1
1850.5	-24.1
1851.5	-24.1
1852.5	-24.1
1853.5	-24.1
1854.5	-24.1
1855.5	-24.1
1856.5	-24.1
1857.5	-24.1
1858.5	-24.1
1859.5	-24.1
1860.5	-24.1
1861.5	-24.11
1862.5	-24.11
1863.5	-24.11
1864.5	-24.11
1865.5	-24.11
1866.5	-24.11
1867.5	-24.11
1868.5	-24.11
1869.5	-24.11
1870.5	-24.11
1871.5	-24.11
1872.5	-24.11
1873.5	-24.12
1874.5	-24.12
1875.5	-24.12
1876.5	-24.12
1877.5	-24.13
1878.5	-24.14
1879.5	-24.14
1880.5	-24.15
1881.5	-24.15
1882.5	-24.16
1883.5	-24.15
1884.5	-24.17
1885.5	-24.22
1886.5	-24.31
1887.5	-24.38
1888.5	-24.44
1889.5	-24.37
1890.5	-24.36
1891.5	-24.32
1892.5	-24.3
1893.5	-24.3
1894.5	-24.28
1895.5	-24.29
1896.5	-24.29
1897.5	-24.3
1898.5	-24.3
1899.5	-24.32
1900.5	-24.33
1901.5	-24.34
1902.5	-24.35
1903.5	-24.35
1904.5	-24.36
1905.5	-24.36
1906.5	-24.36
1907.5	-24.36
1908.5	-24.38
1909.5	-24.4
1910.5	-24.41
1911.5	-24.42
1912.5	-24.42
1913.5	-24.42
1914.5	-24.46
1915.5	-24.49
1916.5	-24.51
1917.5	-24.52
1918.5	-24.5
1919.5	-24.6
1920.5	-24.61
1921.5	-24.66
1922.5	-24.71
1923.5	-24.76
1924.5	-24.81
1925.5	-24.84
1926.5	-24.88
1927.5	-24.91
1928.5	-24.74
1929.5	-24.83
1930.5	-24.89
1931.5	-24.94
1932.5	-25.02
1933.5	-25.04
1934.5	-25.02
1935.5	-25.04
1936.5	-25.03
1937.5	-25.1
1938.5	-25.13
1939.5	-25.16
1940.5	-25.16
1941.5	-25.09
1942.5	-25.14
1943.5	-25.22
1944.5	-25.42
1945.5	-25.74
1946.5	-25.63
1947.5	-25.59
1948.5	-25.68
1949.5	-25.78
1950.5	-26.02
1951.5	-26.17
1952.5	-26.28
1953.5	-26.32
1954.5	-26.36
1955.5	-26.39
1956.5	-26.43
1957.5	-26.51
1958.5	-26.55
1959.5	-26.58
1960.5	-26.68
1961.5	-26.82
1962.5	-26.94
1963.5	-27.04
1964.5	-27.16
1965.5	-27.26
1966.5	-27.37
1967.5	-27.58
1968.5	-27.71
1969.5	-27.87
1970.5	-27.9
1971.5	-28.01
1972.5	-28.08
1973.5	-28.15
1974.5	-28.17
1975.5	-28.14
1976.5	-28.18
1977.5	-28.19
1978.5	-28.28
1979.5	-28.3
1980.5	-28.32
1981.5	-28.37
1982.5	-28.31
1983.5	-28.3
1984.5	-28.4
1985.5	-28.37
1986.5	-28.24
1987.5	-28.34
1988.5	-28.37
1989.5	-28.4
1990.5	-28.5
1991.5	-28.57
1992.5	-28.58
1993.5	-28.66
1994.5	-28.6
1995.5	-28.54
1996.5	-28.6
1997.5	-28.53
1998.5	-28.65
1999.5	-28.72
2000.5	-28.73
2001.5	-28.67
2002.5	-28.69
2003.5	-28.53
2004.5	-28.42
2005.5	-28.32
2006.5	-28.21
2007.5	-28.14
2008.5	-28.17
2009.5	-28.01
2010.5	-28
2011.5	-27.85
2012.5	-27.81
2013.5	-27.73
2100.5	-27.73






