--------------------------------	
historical D14C data for CMIP6
HDG 12-Jun-18	
--------------------------------
1850.5	-4
1851.5	-4.3
1852.5	-4.6
1853.5	-4.8
1854.5	-5.1
1855.5	-5.3
1856.5	-5.4
1857.5	-5.6
1858.5	-5.7
1859.5	-5.9
1860.5	-6
1861.5	-6.1
1862.5	-6.3
1863.5	-6.4
1864.5	-6.5
1865.5	-6.6
1866.5	-6.8
1867.5	-7
1868.5	-7.2
1869.5	-7.4
1870.5	-7.6
1871.5	-7.8
1872.5	-8
1873.5	-8.1
1874.5	-8.4
1875.5	-8.3
1876.5	-8.1
1877.5	-7.8
1878.5	-7.5
1879.5	-7.3
1880.5	-7.2
1881.5	-7.2
1882.5	-7.3
1883.5	-7.3
1884.5	-7.3
1885.5	-7.4
1886.5	-7.5
1887.5	-7.6
1888.5	-7.7
1889.5	-7.8
1890.5	-7.6
1891.5	-7.2
1892.5	-6.9
1893.5	-6.5
1894.5	-6.1
1895.5	-5.9
1896.5	-5.9
1897.5	-5.9
1898.5	-5.9
1899.5	-5.9
1900.5	-6
1901.5	-6.3
1902.5	-6.6
1903.5	-6.9
1904.5	-7.2
1905.5	-7.6
1906.5	-8
1907.5	-8.3
1908.5	-8.7
1909.5	-9.1
1910.5	-9.3
1911.5	-9.5
1912.5	-9.7
1913.5	-9.8
1914.5	-10
1915.5	-10.3
1916.5	-10.8
1917.5	-11.3
1918.5	-11.7
1919.5	-12.2
1920.5	-12.6
1921.5	-12.9
1922.5	-13.3
1923.5	-13.6
1924.5	-13.9
1925.5	-14.3
1926.5	-14.7
1927.5	-15.2
1928.5	-15.6
1929.5	-16
1930.5	-16.4
1931.5	-16.6
1932.5	-16.8
1933.5	-17
1934.5	-17.2
1935.5	-17.6
1936.5	-18.1
1937.5	-18.7
1938.5	-19.2
1939.5	-19.7
1940.5	-20.3
1941.5	-20.8
1942.5	-21.3
1943.5	-21.8
1944.5	-22.3
1945.5	-22.7
1946.5	-23.1
1947.5	-23.5
1948.5	-23.9
1949.5	-24.3
1950.5	-24.8
1951.5	-24.8
1952.5	-24.9
1953.5	-23.9
1954.5	-21.1
1955.5	-6.4
1956.5	23.4
1957.5	51.9
1958.5	105.7
1959.5	176.8
1960.5	200.3
1961.5	205.8
1962.5	256.3
1963.5	474.3
1964.5	672.3
1965.5	697.5
1966.5	658.5
1967.5	605.4
1968.5	559.6
1969.5	537.1
1970.5	519.1
1971.5	495.4
1972.5	466.6
1973.5	426.1
1974.5	400.7
1975.5	378.7
1976.5	354.4
1977.5	330
1978.5	320.7
1979.5	296.1
1980.5	272
1981.5	254.8
1982.5	241.2
1983.5	225
1984.5	209.7
1985.5	204
1986.5	193.9
1987.5	186.5
1988.5	177.6
1989.5	166.6
1990.5	155.1
1991.5	145.3
1992.5	137.6
1993.5	131.8
1994.5	125.5
1995.5	120
1996.5	114.6
1997.5	105.2
1998.5	102.1
1999.5	97
2000.5	91.2
2001.5	85.1
2002.5	79.1
2003.5	73.5
2004.5	68.3
2005.5	63.6
2006.5	59.5
2007.5	55.8
2008.5	52.3
2009.5	48.7
2010.5	44.5
2011.5	40.2
2012.5	33.3
2013.5	27.2
2014.5	22.5
2015.5	16.7

