--------------------------------	
Fossil-fuel production data from CEDS until 2014, then SSP1-1.9
http://www.globalchange.umd.edu/ceds/ceds-cmip6-data/
calculated by summing checksum totals for each year
SSP data from J. Rogelj
HDG Oct 18
--------------------------------	
1849.5	0
1850.5	0.0514
1851.5	0.0515
1852.5	0.0536
1853.5	0.0559
1854.5	0.0659
1855.5	0.0665
1856.5	0.0712
1857.5	0.0719
1858.5	0.0730
1859.5	0.0778
1860.5	0.0858
1861.5	0.0904
1862.5	0.0918
1863.5	0.0974
1864.5	0.1047
1865.5	0.1109
1866.5	0.1147
1867.5	0.1225
1868.5	0.1255
1869.5	0.1332
1870.5	0.1366
1871.5	0.1452
1872.5	0.1602
1873.5	0.1700
1874.5	0.1609
1875.5	0.1731
1876.5	0.1758
1877.5	0.1797
1878.5	0.1807
1879.5	0.1930
1880.5	0.2192
1881.5	0.2251
1882.5	0.2368
1883.5	0.2507
1884.5	0.2527
1885.5	0.2542
1886.5	0.2581
1887.5	0.2707
1888.5	0.2988
1889.5	0.2991
1890.5	0.3250
1891.5	0.3401
1892.5	0.3426
1893.5	0.3375
1894.5	0.3508
1895.5	0.3713
1896.5	0.3832
1897.5	0.4015
1898.5	0.4228
1899.5	0.4628
1900.5	0.4876
1901.5	0.5038
1902.5	0.5186
1903.5	0.5657
1904.5	0.5743
1905.5	0.6114
1906.5	0.6434
1907.5	0.7258
1908.5	0.7021
1909.5	0.7282
1910.5	0.7644
1911.5	0.7797
1912.5	0.8185
1913.5	0.8879
1914.5	0.8098
1915.5	0.8012
1916.5	0.8634
1917.5	0.8945
1918.5	0.8852
1919.5	0.7786
1920.5	0.9025
1921.5	0.7934
1922.5	0.8434
1923.5	0.9590
1924.5	0.9698
1925.5	0.9831
1926.5	0.9706
1927.5	1.0714
1928.5	1.0755
1929.5	1.1563
1930.5	1.0723
1931.5	0.9681
1932.5	0.8798
1933.5	0.9229
1934.5	1.0001
1935.5	1.0500
1936.5	1.1497
1937.5	1.2304
1938.5	1.1608
1939.5	1.2319
1940.5	1.3317
1941.5	1.3566
1942.5	1.3583
1943.5	1.4022
1944.5	1.3871
1945.5	1.1803
1946.5	1.2935
1947.5	1.4491
1948.5	1.5409
1949.5	1.5142
1950.5	1.6947
1951.5	1.8163
1952.5	1.8508
1953.5	1.9048
1954.5	1.9542
1955.5	2.1376
1956.5	2.2898
1957.5	2.3834
1958.5	2.4657
1959.5	2.6022
1960.5	2.7269
1961.5	2.7505
1962.5	2.8668
1963.5	3.0345
1964.5	3.1918
1965.5	3.3402
1966.5	3.4997
1967.5	3.6239
1968.5	3.8324
1969.5	4.0593
1970.5	4.3211
1971.5	4.5077
1972.5	4.7038
1973.5	4.9727
1974.5	4.9453
1975.5	4.9259
1976.5	5.1918
1977.5	5.3614
1978.5	5.5787
1979.5	5.7275
1980.5	5.6478
1981.5	5.5362
1982.5	5.4742
1983.5	5.4800
1984.5	5.6159
1985.5	5.6757
1986.5	5.7809
1987.5	5.9386
1988.5	6.1298
1989.5	6.2071
1990.5	6.1828
1991.5	6.1860
1992.5	6.1418
1993.5	6.1900
1994.5	6.2367
1995.5	6.3739
1996.5	6.5078
1997.5	6.5710
1998.5	6.5869
1999.5	6.6577
2000.5	6.8895
2001.5	6.9533
2002.5	7.0941
2003.5	7.4206
2004.5	7.8084
2005.5	8.0891
2006.5	8.3536
2007.5	8.6765
2008.5	8.7284
2009.5	8.5803
2010.5	8.9706
2011.5	9.2509
2012.5	9.3815
2013.5	9.6541
2014.5	9.7139 
2020.5	8.346
2030.5	5.030
2040.5	2.425
2050.5	1.597
2060.5	1.327
2070.5	1.175
2080.5	1.033
2090.5	0.891
2100.5	0.793
