--------------------------------	
Land use emissions data from C4MIP until 2014, then SSP2.4.5	
http://c4mip.net/index.php?id=3455
HDG 30-May-18	
--------------------------------	
1849.5	0
1850.5	0.7112
1851.5	0.7321
1852.5	0.7387
1853.5	0.7631
1854.5	0.7666
1855.5	0.7703
1856.5	0.7734
1857.5	0.7766
1858.5	0.7790
1859.5	0.7814
1860.5	0.7836
1861.5	0.7879
1862.5	0.7542
1863.5	0.7275
1864.5	0.7218
1865.5	0.7167
1866.5	0.7127
1867.5	0.7097
1868.5	0.7065
1869.5	0.7038
1870.5	0.7011
1871.5	0.7058
1872.5	0.7676
1873.5	0.8223
1874.5	0.8408
1875.5	0.8570
1876.5	0.8709
1877.5	0.8836
1878.5	0.8948
1879.5	0.9052
1880.5	0.9149
1881.5	0.9308
1882.5	0.9586
1883.5	0.9514
1884.5	0.9639
1885.5	0.9738
1886.5	0.9815
1887.5	0.9880
1888.5	0.9964
1889.5	1.0045
1890.5	1.0121
1891.5	1.0212
1892.5	1.0077
1893.5	1.0088
1894.5	1.0173
1895.5	1.0165
1896.5	1.0191
1897.5	1.0219
1898.5	1.0246
1899.5	1.0270
1900.5	1.0305
1901.5	1.0615
1902.5	1.1297
1903.5	1.1682
1904.5	1.2013
1905.5	1.2289
1906.5	1.2505
1907.5	1.2682
1908.5	1.2830
1909.5	1.2955
1910.5	1.3031
1911.5	1.2785
1912.5	1.2784
1913.5	1.2558
1914.5	1.2492
1915.5	1.2459
1916.5	1.2420
1917.5	1.2367
1918.5	1.2282
1919.5	1.2248
1920.5	1.2215
1921.5	1.2434
1922.5	1.2717
1923.5	1.2748
1924.5	1.2822
1925.5	1.2885
1926.5	1.2947
1927.5	1.3014
1928.5	1.3127
1929.5	1.3198
1930.5	1.3264
1931.5	1.3321
1932.5	1.3703
1933.5	1.3876
1934.5	1.4013
1935.5	1.4118
1936.5	1.4367
1937.5	1.4462
1938.5	1.4565
1939.5	1.4611
1940.5	1.4648
1941.5	1.4378
1942.5	1.4407
1943.5	1.4366
1944.5	1.4351
1945.5	1.4331
1946.5	1.4639
1947.5	1.4695
1948.5	1.4891
1949.5	1.4945
1950.5	1.5024
1951.5	1.6149
1952.5	1.8682
1953.5	1.9710
1954.5	2.0748
1955.5	2.1590
1956.5	2.2200
1957.5	2.2685
1958.5	2.3170
1959.5	2.3016
1960.5	2.3199
1961.5	2.3750
1962.5	2.1515
1963.5	2.0442
1964.5	1.9660
1965.5	1.9277
1966.5	1.8892
1967.5	1.8775
1968.5	1.8268
1969.5	1.8015
1970.5	1.7721
1971.5	1.6872
1972.5	1.6197
1973.5	1.5939
1974.5	1.5612
1975.5	1.5520
1976.5	1.5514
1977.5	1.5535
1978.5	1.5180
1979.5	1.4858
1980.5	1.4768
1981.5	1.4747
1982.5	1.5147
1983.5	1.6203
1984.5	1.6474
1985.5	1.6792
1986.5	1.7057
1987.5	1.7068
1988.5	1.7178
1989.5	1.7388
1990.5	1.7062
1991.5	1.8094
1992.5	1.7499
1993.5	1.6415
1994.5	1.5885
1995.5	1.5607
1996.5	1.5287
1997.5	1.4950
1998.5	1.4697
1999.5	1.4332
2000.5	1.4193
2001.5	1.3144
2002.5	1.1597
2003.5	1.1127
2004.5	1.0773
2005.5	1.0591
2006.5	1.0300
2007.5	0.9631
2008.5	0.9539
2009.5	0.9706
2010.5	1.2343
2011.5	0.9100
2012.5	0.9700
2013.5	0.9200
2014.5	1.0900
2020.5	1.5465
2030.5	1.2514
2040.5	0.8666
2050.5	0.1861
2060.5	-0.5334
2070.5	-0.7174
2080.5	-1.0368
2090.5	-1.2435
2100.5	-1.3091
